Company,Level Audition,Name,Re-Evaluation,2nd Re-Evaluation,ep2,ep4,ep6,ep9,note
Gramarie Entertainment,C,Gia Ge Xinyi,D,B,41,21,22,26,
Gramarie Entertainment,D,Dolly Zhang Luofei,D,D,71,68,76,-,
TOV Entertainment,C,Marco Lin Fan,A,C,11,18,20,20,
TOV Entertainment,B,K Lu Keran,C,C,7,7,10,12,
TOV Entertainment,C,Hazel Chen Yiwen,F,C,51,67,81,-,
TPG Culture,B,Ju Chen Pinxuan,B,C,73,66,69,53,
TPG Culture,B,Sharon Wang Chengxuan,D,A,94,20,8,5,
TPG Culture,C,Sheen Wang Xinming,F,D,108,54,68,-,
TPG Culture,C,Theia Zheng Yuxin,C,A,99,86,88,-,
WR / OC,C,NINEONE Nai Wan,A,C,24,33,19,14,
Yuehua Entertainment,C,Vivi Chen Xinwei,C,F,29,46,44,55,
Yuehua Entertainment,C,Aria Jin Zihan,C,C,19,29,27,21,
Yuehua Entertainment,C,Kay Song Zhaoyi,B,B,47,63,53,49,
Yuehua Entertainment,C,Thea Xi Ya,F,F,68,79,82,-,
Yuehua Entertainment,C,Ree Ai Yiyi,F,D,35,59,60,-,
Huace Pictures,D,Esther Yu Shuxin,D,D,1,1,1,1,
Shanghai Star48 Culture Media Group SNH48_7SENSES,A,Kiki Xu Jiaqi,B,B,2,2,2,2,
Shanghai Star48 Culture Media Group SNH48_7SENSES,B,Diamond Dai Meng,C,C,9,11,18,24,
Shanghai Star48 Culture Media Group SNH48_7SENSES,C,Tako Zhang Yuge,C,C,17,19,25,30,
Shanghai Star48 Culture Media Group SNH48_7SENSES,C,Eliwa Xuyang Yuzhuo,B,B,20,17,26,37,
Show City Times,C,Han Dong,F,D,56,62,64,59,
Show City Times,D,BeeBee Huang Xiaoyun,C,D,48,72,83,-,
Show City Times,D,Wei Shuyu,F,F,89,108,75,-,
Show City Times,B,Xu Xinwen,A,B,79,95,84,57,
Happy Jump Culture,F,Bobo Li Xining,F,F,109,109,109,-,
